user,item,rating,timestamp,event_time
A2V0KUVAB9HSYO,B000002URX,4.8,1778549938,2026-05-12 04:39:38.907
A3Q1J7VFGG80EK,B000002URV,4.9,1778549941,2026-05-12 04:39:38.907
A2V0KUVAB9HSYO,B000002URW,4.6,1778549944,2026-05-12 04:39:38.907
A2IR4Q0GPAFJKW,5555991584,4.6,1778549945,2026-05-12 04:39:38.907
A3Q1J7VFGG80EK,B000002URY,4.6,1778549950,2026-05-12 04:39:38.907
A2EFCYXHNK06IS,B000002URV,4.9,1778549953,2026-05-12 04:39:38.907
A1WR23ER5HMAA9,B000002URV,4.8,1778549954,2026-05-12 04:39:38.907
A2IR4Q0GPAFJKW,B000002URV,4.7,1778549954,2026-05-12 04:39:38.907
A1WR23ER5HMAA9,B000002URY,4.9,1778549957,2026-05-12 04:39:38.907
A2EFCYXHNK06IS,B000002URV,4.9,1778549963,2026-05-12 04:39:38.907
A2IR4Q0GPAFJKW,B000002URV,4.8,1778549968,2026-05-12 04:39:38.907
A1J0GL9HCA7ELW,B000002URW,4.7,1778549971,2026-05-12 04:39:38.907
A2V0KUVAB9HSYO,5555991584,5.0,1778549936,2026-05-12 04:39:38.907
A3Q1J7VFGG80EK,5555991584,4.6,1778549940,2026-05-12 04:39:38.907
A340XJYJDFSMUG,B000002URV,4.6,1778549941,2026-05-12 04:39:38.907
A2IR4Q0GPAFJKW,B000002URV,4.6,1778549943,2026-05-12 04:39:38.907
A1WR23ER5HMAA9,B000002URV,4.7,1778549944,2026-05-12 04:39:38.907
A2V0KUVAB9HSYO,B000002URW,4.8,1778549947,2026-05-12 04:39:38.907
A2V0KUVAB9HSYO,5555991584,4.8,1778549948,2026-05-12 04:39:38.907
A340XJYJDFSMUG,5555991584,4.7,1778549962,2026-05-12 04:39:38.907
A2V0KUVAB9HSYO,B000002URX,4.6,1778549966,2026-05-12 04:39:38.907
A1J0GL9HCA7ELW,B000002URX,5.0,1778549967,2026-05-12 04:39:38.907
A1WR23ER5HMAA9,B000002URW,4.7,1778549970,2026-05-12 04:39:38.907
A1J0GL9HCA7ELW,B000002URY,4.7,1778549974,2026-05-12 04:39:38.907
A2IR4Q0GPAFJKW,B000002URW,4.6,1778549982,2026-05-12 04:40:04.175
A3Q1J7VFGG80EK,B000002URX,4.6,1778549984,2026-05-12 04:40:04.175
A1WR23ER5HMAA9,B000002URV,4.9,1778549986,2026-05-12 04:40:04.175
A3EBHHCHO6V2A4,B000002URX,4.6,1778549990,2026-05-12 04:40:04.175
A2EFCYXHNK06IS,B000002URV,4.7,1778549997,2026-05-12 04:40:04.175
A2V0KUVAB9HSYO,B000002URW,4.8,1778549997,2026-05-12 04:40:04.175
A1J0GL9HCA7ELW,B000002URV,4.9,1778550001,2026-05-12 04:40:04.175
A2IR4Q0GPAFJKW,5555991584,4.8,1778550002,2026-05-12 04:40:04.175
A3EBHHCHO6V2A4,B000002URX,4.8,1778549984,2026-05-12 04:40:04.175
A2IR4Q0GPAFJKW,B000002URY,4.8,1778549995,2026-05-12 04:40:04.175
A2EFCYXHNK06IS,5555991584,4.6,1778550004,2026-05-12 04:40:04.175
A3EBHHCHO6V2A4,B000002URV,4.7,1778550007,2026-05-12 04:40:31.439
A2EFCYXHNK06IS,B000002URY,4.7,1778550014,2026-05-12 04:40:31.439
A340XJYJDFSMUG,B000002URY,4.7,1778550028,2026-05-12 04:40:31.439
A340XJYJDFSMUG,B000002URY,4.9,1778550028,2026-05-12 04:40:31.439
A2EFCYXHNK06IS,B000002URV,5.0,1778550008,2026-05-12 04:40:31.439
A3Q1J7VFGG80EK,B000002URX,4.6,1778550009,2026-05-12 04:40:31.439
A1WR23ER5HMAA9,B000002URV,4.6,1778550015,2026-05-12 04:40:31.439
A3Q1J7VFGG80EK,B000002URX,4.9,1778550017,2026-05-12 04:40:31.439
A340XJYJDFSMUG,5555991584,4.9,1778550018,2026-05-12 04:40:31.439
A2V0KUVAB9HSYO,B000002URX,4.6,1778550020,2026-05-12 04:40:31.439
